a			ʌ
acquiesce		æˌkwiɛˈs
acquiesced		æˌkwiɛˈst
acquiescence		æˌkwiɛˈsʌns
acquiescing		æˌkwiɛˈsɪŋ
acquire		ʌkwajˈɚ
acquired		ʌkwajˈɚd
acquirer		ʌkwajˈɚɚ
acquirer's		ʌkwajˈɚɚz
acquirers		ʌkwajˈɚɚz
acquires		ʌkwajˈɚz
acquiring		ʌkwajˈɹɪŋ
acquiring(1)		ʌkwajˈɚɪŋ
acquisition		æˌkwʌzɪˈʃʌn
acquisition's		æˌkwʌzɪˈʃʌnz
acquisitions		æˌkwʌzɪˈʃʌnz
acquisitive		ʌkwɪˈzʌtɪv
acquit			ʌkwɪˈt
acquitaine		æˈkwɪtejˌn
acquits		ʌkwɪˈts
acquittal		ʌkwɪˈtʌl
acquittals		ʌkwɪˈtʌlz
acquitted		ʌkwɪˈtʌd
acquitted(1)		ʌkwɪˈtɪd
acquitting		ʌkwɪˈtɪŋ
acre			ejˈkɚ
acreage		ejˈkɚɪʤ
acreage(1)		ejˈkɹʌʤ
acree			ʌkɹiˈ
acres			ejˈkɚz
acrey			æˈkɹi
acri			ɑˈkɹi
acrid			æˈkɹɪd
acrimonious		æˌkɹʌmowˈniʌs
acrimony		æˈkɹɪmowˌni
acro			æˈkɹow
acrobat		æˈkɹʌbæˌt
acrobatic		æˌkɹʌbæˈtɪk
acrobatics		æˌkɹʌbæˈtɪks
acrobats		æˈkɹʌbæˌts
acrolein		æˈkɹowliˌn
acronym		æˈkɹʌnɪm
acronyms		æˈkɹʌnɪmz
acropolis		ʌkɹɑˈpʌlʌs
across			ʌkɹɔˈs
acrylic		ʌkɹɪˈlɪk
acrylics		ʌkɹɪˈlɪks
act			æˈkt
act's			æˈkts
actava			æˌktɑˈvʌ
actava's		æˌktɑˈvʌz
actavas		æˌktɑˈvʌz
acted			æˈktʌd
acted(1)		æˈktɪd
actel			æˈktɛl
actigall		æˈktɪgɔl
actin			æˈktʌn
acting			æˈktɪŋ
actinide		æˈktɪnajˌd
actinidia		æˌktɪnɪˈdiʌ
actinomycosis		æktɪˈnowmajˈkowˈsɪs
action			æˈkʃʌn
action's		æˈkʃʌnz
actionable		æˈkʃʌnʌbʌl
actions		æˈkʃʌnz
activase		æˈktɪvejˌz
activate		æˈktʌvejˌt
activated		æˈktʌvejˌtʌd
activated(1)		æˈktɪvejˌtɪd
activates		æˈktʌvejˌts
activating		æˈktʌvejˌtɪŋ
activation		æˌktʌvejˈʃʌn
activator		æˈktʌvejˌtɚ
active			æˈktɪv
active's		æˈktɪvz
actively		æˈktɪvli
actives		æˈktɪvz
activision		æˈktɪvɪˌʒʌn
activism		æˈktɪvɪˌzʌm
activist		æˈktʌvʌst
activist(1)		æˈktɪvɪst
activists		æˈktʌvʌsts
activists(1)		æˈktɪvɪsts
activists(2)		æˈktʌvʌs
activists(3)		æˈktɪvɪs
activists'		æˈktɪvɪsts
activists'(1)		æˈktɪvɪs
activities		æktɪˈvʌtiz
activities(1)		æktɪˈvɪtiz
activity		æktɪˈvʌti
activity(1)		æktɪˈvɪti
actmedia		æktmiˈdiʌ
actodine		æˈktowdajˌn
acton			æˈktʌn
actor			æˈktɚ
actor's		æˈktɚz
actors			æˈktɚz
actors'		æˈktɚz
actress		æˈktɹʌs
actress's		æˈktɹʌsɪz
actresses		æˈktɹʌsɪz
acts			æˈkts
acts(1)		æˈks
actual			æˈkʧʌwʌl
actual(1)		æˈkʃʌl
actuality		æˌkʧuæˈlʌtiˌ
actualize		æˈkʧuˌʌlajˌz
actually		æˈkʧuˌʌli
actually(1)		æˈkʧli
actually(2)		æˈkʃʌli
actuarial		æˌkʧuˌɛˈɹiʌl
actuaries		æˈkʧuˌɛˈɹiˌz
actuary		æˈkʧuɛˈɹiˌ
actuate		æˈkʧuˌejˈt
actuator		æˈktjuejˌtɚ
actuator(1)		æˈkʧuejˌtɚ
actuators		æˈktjuejˌtɚz
actuators(1)		æˈkʧuejˌtɚz
actus			æˈktʌs
acuff			ʌkʌˈf
acuity			ʌkjuˈʌti
acumen			ʌkjuˈmʌn
acuna			ɑkuˈnʌ
acupuncture		æˈkjupʌˌŋkʧɚ
acura			æˈkjɚʌ
acura's		æˈkjɚʌz
acuras			æˈkjɚʌz
acuson			æˌkjuˈsʌn
acustar		æˈkjustɑˌɹ
acusyst		æˈkjusɪst
acute			ʌkjuˈt
acutely		ʌkjuˈtli
acuteness		ʌkjuˈtnʌs
acyclovir		ʌsɪˈklowvɪˌɹ
ad			æˈd
ad's			æˈdz
ad-hoc			æˈdhɑˈk
ad-lib			æˈdlɪˈb
ad-nauseum		æˈdnɔˈziʌm
ada			ejˈdʌ
ada's			ejˈdʌz
adabel			æˈdʌbɛl
adabelle		æˈdʌbʌl
adachi			ɑdɑˈki
adage			æˈdʌʤ
adage(1)		æˈdɪʤ
adagio			ʌdɑˈʒiowˌ
adah			æˈdɑ
adair			ʌdɛˈɹ
adaire			ɑdɛˈɹ
adak			ʌdæˈk
adalah			ɑdɑˈlʌ
adalia			ɑdɑˈliʌ
adam			æˈdʌm
adam's			æˈdʌmz
adamant		æˈdʌmʌnt
adamantly		æˈdʌmʌntli
adamcik		ɑˈdʌmʧɪk
adamczak		ɑˈdʌmʧæk
adamczyk		ɑˈdʌmʧɪk
adame			ɑdɑˈmi
adamec			ʌdɑˈmɪk
adamek			ʌdɑˈmɛk
adames			ʌdejˈmz
adami			ɑdɑˈmi
adamik			ʌdɑˈmɪk
adamina		ɑdɑmiˈnʌ
adamkus		æˈdʌmkʌs
adamo			ɑdɑˈmow
adamowicz		ʌdɑˈmʌvɪʧ
adams			æˈdʌmz
adams'			æˈdʌmz
adams's		æˈdʌmzɪz
adamski		ʌdæˈmskiˌ
adamson		æˈdʌmsʌn
adamstown		æˈdʌmstawˌn
adan			ejˈdʌn
adapso			ʌdæˈpsow
adapt			ʌdæˈpt
adaptability		ʌdæˌptʌbɪˈlʌti
adaptable		ʌdæˈptʌbʌl
adaptaplex		ʌdæˈptʌplɛˌks
adaptation		æˌdʌptejˈʃʌn
adaptations		æˌdæptejˈʃʌnz
adaptations(1)		æˌdʌptejˈʃʌnz
adaptec		ʌdæˈptɛˌk
adaptec's		ʌdæˈptɛˌks
adapted		ʌdæˈptʌd
adapted(1)		ʌdæˈptɪd
adapter		ʌdæˈptɚ
adapters		ʌdæˈptɚz
adapting		ʌdæˈptɪŋ
adaptive		ʌdæˈptɪv
adaptor		ʌdæˈptɚ
adaptors		ʌdæˈptɚz
adapts			ʌdæˈpts
adar			ʌdɑˈɹ
adarand		æˈdʌɹæˌnd
adas			ejˈdʌz
aday			ʌdejˈ
adaza			ʌdɑˈzʌ
adcock			ʌdkɑˈk
adcox			ʌdkɑˈks
add			æˈd
addair			ʌdɛˈɹ
addams			æˈdʌmz
added			æˈdʌd
added(1)		æˈdɪd
addendum		ʌdɛˈdʌm
addendums		ʌdɛˈdʌmz
addeo			ɑˈdiow
adder			æˈdɚ
adderley		ʌdɚˈli
addicks		æˈdɪks
addict			ʌdɪˈkt
addict(1)		æˈdɪˌkt
addicted		ʌdɪˈktʌd
addicted(1)		ʌdɪˈktɪd
addicting		ʌdɪˈktɪŋ
addiction		ʌdɪˈkʃʌn
addictions		ʌdɪˈkʃʌnz
addictive		ʌdɪˈktɪv
addicts		ʌdɪˈkts
addicts(1)		æˈdɪˌkts
addidas		ʌdiˈdʌs
addidas'		ʌdiˈdʌs
addidas's		ʌdiˈdʌsɪz
addidases		ʌdiˈdʌsɪz
addie			æˈdi
adding			æˈdɪŋ
addington		æˈdɪŋtʌn
addis			ɑˈdɪs
addis-ababa		ɑˈdɪsʌbɑˈbʌ
addis-ababa(1)		ɑˈdisʌbɑˈbʌ
addison		æˈdʌsʌn
addison(1)		æˈdɪsʌn
addison's		æˈdɪsʌnz
addition		ʌdɪˈʃʌn
additional		ʌdɪˈʃʌnʌl
additional(1)		ʌdɪˈʃnʌl
additionally		ʌdɪˈʃʌnʌli
additionally(1)	ʌdɪˈʃnʌli
additions		ʌdɪˈʃʌnz
additive		æˈdʌtɪv
additive(1)		æˈdɪtɪv
additives		æˈdʌtɪvz
additives(1)		æˈdɪtɪvz
addle			æˈdʌl
addled			æˈdʌld
addleman		æˈdʌlmʌn
address		æˈdɹɛˌs
address(1)		ʌdɹɛˈs
addressable		ʌdɹɛˈsʌbʌl
addressed		ʌdɹɛˈst
addressee		æˌdɹɛsiˈ
addresses		æˈdɹɛˈsɪz
addresses(1)		ʌdɹɛˈsɪz
addressing		ʌdɹɛˈsɪŋ
adds			æˈdz
adduci			ɑduˈʧi
adduct			æˈdʌkt
addwest		æˌdwɛˈst
addy			æˈdi
addyston		æˈdistʌn
ade			ejˈd
adee			ʌdiˈ
adel			ʌdɛˈl
adela			ʌdɛˈlʌ
adelaar		æˈdʌlɑˌɹ
adelaide		æˈdʌlejˌd
adelanto		ædʌlɑˈntow
adelbert		ʌdɛˈlbɚt
adele			ʌdɛˈl
adele's		ʌdɛˈlz
adeline		æˈdʌlajˌn
adelizzi		æˌdʌliˈzi
adell			ʌdɛˈl
adell's		ʌdɛˈlz
adelle			ʌdɛˈl
adelman		æˈdʌlmʌn
adelman(1)		ɛˈdʌlmʌn
adelmann		æˈdʌlmʌn
adelpha		ʌdɛˈlfʌ
adelphi		ʌdɛˈlfi
adelphia		ʌdɛˈlfiʌ
adelphia's		ʌdɛˈlfiʌz
adelsberger		æˈdɪlzbɚgɚ
adelson		æˈdʌlsʌn
adelstein		æˈdʌlstajn
adelstein(1)		æˈdʌlstin
aden			ejˈdʌn
adena			æˈdɪnʌ
adenauer		ejˈdʌnawˌɹ
adenauer(1)		æˈdʌnawˌɹ
adenine		æˈdʌniˌn
adenoid		æˈdʌnɔjˌd
adenoids		æˈdʌnɔjˌdz
adenoscan		ʌdɛˈnʌskæˌn
adenosine		ʌdɛˈnʌsiˌn
adenovirus		ʌdɛˈnʌvajˌɹʌs
adept			ʌdɛˈpt
adequacy		æˈdʌkwʌsi
adequate		æˈdʌkwʌt
adequate(1)		æˈdʌkwejˌt
adequately		æˈdʌkwʌtli
adequately(1)		æˈdʌkwɪtli
ader			ejˈdɚ
aderhold		æˈdɚhowld
aderholt		æˈdɚhowlt
aderman		æˈdɚmʌn
ades			ejˈdz
adey			ejˈdi
adger			æˈʤɚ
adham			æˈdhæm
adhere			ʌdhɪˈɹ
adhered		ædhɪˈɹd
adherence		ʌdhɪˈɹʌns
adherent		ʌdhɪˈɹʌnt
adherents		ædhɪˈɹʌnts
adheres		ʌdhɪˈɹz
adhering		ʌdhɪˈɹɪŋ
adhesion		ædhiˈʒʌn
adhesive		ædhiˈsɪv
adhesive(1)		ʌdhiˈsɪv
adhesives		ædhiˈsɪvz
adhesives(1)		ʌdhiˈsɪvz
adia			ɑˈdiʌ
adid			ʌdɪˈd
adidas			ʌdiˈdʌs
adidas's		ʌdiˈdʌsɪz
adieu			ʌduˈ
adin			ʌdɪˈn
adina			ɑdiˈnʌ
adine			ɑdiˈni
adinolfi		ɑdinowˈlfi
adios			ɑˌdiowˈs
adipose		æˈdʌpowˌs
adirondack		æˌdɚɑˈndæk
adisq			ʌdɪˈsk
adisq(1)		ejˈdɪsk
adjacent		ʌʤejˈsʌnt
adjani			ædʤɑˈni
adjective		æˈʤɪktɪv
adjectives		æˈʤɪktɪvz
adjoin			ʌʤɔjˈn
adjoining		ʌʤɔjˈnɪŋ
adjoins		ʌʤɔjˈnz
adjourn		ʌʤɚˈn
adjourned		ʌʤɚˈnd
adjourning		ʌʤɚˈnɪŋ
adjournment		ʌʤɚˈnmʌnt
adjourns		ʌʤɚˈnz
adjudge		ʌʤʌˈʤ
adjudged		ʌʤʌˈʤd
adjudicate		ʌʤuˈdɪkejˌt
adjudicated		ʌʤuˈdʌkejˌtɪd
adjudicating		ʌʤuˈdɪkejˌtɪŋ
adjudication		ʌʤuˌdʌkejˈʃʌn
adjunct		æˈʤʌˌŋkt
adjuncts		æˈʤʌˌŋkts
adjust			ʌʤʌˈst
adjustable		ʌʤʌˈstʌbʌl
adjustables		ʌʤʌˈstʌbʌlz
adjusted		ʌʤʌˈstʌd
adjusted(1)		ʌʤʌˈstɪd
adjuster		ʌʤʌˈstɚ
adjusters		ʌʤʌˈstɚz
adjusting		ʌʤʌˈstɪŋ
adjustment		ʌʤʌˈstmʌnt
adjustments		ʌʤʌˈstmʌnts
adjusts		ʌʤʌˈsts
adjusts(1)		ʌʤʌˈs
adjutant		æˈʤʌtʌnt
adkins			æˈdkɪnz
adkinson		æˈdkɪnsʌn
adkison		æˈdkɪsʌn
adkisson		æˈdkɪsʌn
adl-tabataba		ɑˌdʌltɑˌbʌtɑˈbʌ
adl-tabatabai		ɑˌdʌltɑˌbʌtʌˌbajˈ
adlai			ɑdlɑˈi
adler			æˈdlɚ
adler's		æˈdlɚz
adlers			æˈdlɚz
adley			æˈdli
adlon			æˈdlɑn
adlong			æˈdlɔŋ
adman			æˈdmʌn
admen			æˈdmʌn
administer		ʌdmɪˈnʌstɚ
administered		ʌdmɪˈnʌstɚd
administering		ædmɪˈnɪstɚɪŋ
administers		ædmɪˈnɪstɚz
administrate		ædmɪˈnɪstɹejˌt
administrating		ʌdmɪˈnʌstɹejˌtɪŋ
administration		ædmɪˌnɪstɹejˈʃʌn
administration's	ædmɪˌnɪstɹejˈʃʌnz
administrations	ædmɪˌnɪstɹejˈʃʌnz
administrations'	ædmɪˌnɪstɹejˈʃʌnz
administrative		ʌdmɪˈnʌstɹejˌtɪv
administratively	ædmɪˌnʌstɹejˈtɪvli
administrator		ʌdmɪˈnʌstɹejˌtɚ
administrator's	ædmɪˈnɪstɹejˌtɚz
administrators		ædmɪˈnɪstɹejˌtɚz
administrators'	ædmɪˈnʌstɹejˌtɚz
admira			ædmajˈɹʌ
admira's		ædmajˈɹʌz
admirable		æˈdmɚʌbʌl
admirable(1)		æˈdmɹʌbʌl
admirably		æˈdmɚʌbli
admiral		æˈdmɚʌl
admiral's		æˈdmɚʌlz
admirals		æˈdmɚʌlz
admiralty		æˈdmɚʌlti
admiration		æˌdmɚejˈʃʌn
admirations		æˌdmɚejˈʃʌnz
admire			ædmajˈɹ
admired		ʌdmajˈɚd
admirer		ædmajˈɹɚ
admirers		ʌdmajˈɹɚz
admires		ædmajˈɹz
admiring		ædmajˈɹɪŋ
admiringly		ædmajˈɹɪŋli
admissibility		ʌdmɪˌsʌbɪˈlʌti
admissible		ʌdmɪˈsʌbʌl
admission		ædmɪˈʃʌn
admission(1)		ʌdmɪˈʃʌn
admissions		ædmɪˈʃʌnz
admissions(1)		ʌdmɪˈʃʌnz
admit			ʌdmɪˈt
admits			ʌdmɪˈts
admittance		ʌdmɪˈtʌns
admitted		ʌdmɪˈtʌd
admittedly		ædmɪˈtɪdli
admitting		ædmɪˈtɪŋ
admitting(1)		ʌdmɪˈtɪŋ
admonish		ædmɑˈnɪʃ
admonished		ʌdmɑˈnɪʃt
admonishes		ædmɑˈnɪʃɪz
admonishing		ædmɑˈnɪʃɪŋ
admonishment		ædmɑˈnɪʃmɛnt
admonition		æˌdmʌnɪˈʃʌn
admonitions		æˌdmʌnɪˈʃʌnz
adnan			æˈdnʌn
adney			æˈdni
ado			ʌduˈ
adobe			ʌdowˈbi
adobe's		ʌdowˈbiz
adolescence		æˌdʌlɛˈsʌns
adolescence(1)		æˌdowlɛˈsʌns
adolescent		æˌdʌlɛˈsʌnt
adolescent(1)		æˌdowlɛˈsʌnt
adolescents		æˌdʌlɛˈsʌnts
adolescents(1)		æˌdowlɛˈsʌnts
adolf			ejˈdɑlf
adolf's		ejˈdɑlfs
adolfo			ʌdɑˈlfowˌ
adolph			ejˈdɔlf
adolpha		ɑdowˈlfʌ
adolphson		æˈdowlfsʌn
adolphus		ʌdɔˈlfʌs
adon			ɑdɔˈn
adonia			ɑdowˈniʌ
adonis			ʌdɑˈnʌs
adopt			ʌdɑˈpt
adoptable		ʌdɑˈptʌbʌl
adopted		ʌdɑˈptʌd
adoptee		ʌdɑˈptiˈ
adoptees		ʌdɑˈptiˈz
adopter		ʌdɑˈptɚ
adopters		ʌdɑˈptɚz
adopting		ʌdɑˈptɪŋ
adoption		ʌdɑˈpʃʌn
adoptions		ʌdɑˈpʃʌnz
adoptive		ʌdɑˈptɪv
adopts			ʌdɑˈpts
ador			ɑdɔˈɹ
adora			ɑdɔˈɹʌ
adorabelle		æˈdɚʌbʌl
adorable		ʌdɔˈɹʌbʌl
adoration		æˌdɚejˈʃʌn
adore			ʌdɔˈɹ
adored			ʌdɔˈɹd
adoree			ædɚiˈ
adorees		ædɚiˈz
adores			ʌdɔˈɹz
adoring		ʌdɔˈɹɪŋ
adorn			ʌdɔˈɹn
adorna			ɑdɔˈɹnʌ
adorned		ʌdɔˈɹnd
adorning		ʌdɔˈɹnɪŋ
adornment		ʌdɔˈɹnmʌnt
adorno			ɑdɔˈɹnow
adorns			ʌdɔˈɹnz
adra			ejˈdɹʌ
adragna		ɑdɹɑˈgnʌ
adrda			ejˈdɚdʌ
adrea			ɑˈdɹiʌ
adrenal		ʌdɹiˈnʌl
adrenalin		ʌdɹɛˈnʌlɪn
adrenaline		ʌdɹɛˈnʌlʌn
adria			ɑˈdɹiʌ
adrian			ejˈdɹiʌn
adriana		ejˌdɹiæˈnʌ
adriance		ɑdɹiˈʌns
adriano		ɑdɹiɑˈnow
adriatic		ejˌdɹiæˈtɪk
adriel			ʌdɹiˈl
adrienne		ɑdɹiɛˈn
adrift			ʌdɹɪˈft
adroit			ʌdɹɔjˈt
adroitly		ʌdɹɔjˈtli
ads			æˈdz
ads'			æˈdz
adsit			æˈdsɪt
adss			æˈds
adss(1)		ejˈdiˈɛˈsɛˈs
adstar			æˈdstɑɹ
adsteam		æˈdstim
adtec			æˈdtɛˌk
adulate		æˈʤʌlejˌt
adulation		æˌʤʌlejˈʃʌn
aduliadae		ʌduˌliɑˈdej
adult			ʌdʌˈlt
adult(1)		æˈdʌlt
adulterate		ʌdʌˈltɚejˌt
adulterated		ʌdʌˈltɚejˌtɪd
adulterates		ʌdʌˈltɚejˌts
adulteration		ʌdʌˌltɚejˈʃʌn
adulterer		ʌdʌˈltɚɚ
adulterers		ʌdʌˈltɚɚz
adulterous		ʌdʌˈltɚʌs
adultery		ʌdʌˈltɚi
adulthood		ʌdʌˈlthʊˌd
adults			ʌdʌˈlts
adults(1)		æˈdʌlts
adults'		ʌdʌˈlts
adults'(1)		æˈdʌlts
adusdur		æˈdʌsdɚ
advacare		æˈdvʌkɛˌɹ
advalue		æˈdvʌluˌ
advance		ʌdvæˈns
advance's		ʌdvæˈnsʌz
advance's(1)		ʌdvæˈnsɪz
advanced		ʌdvæˈnst
advancement		ʌdvæˈnsmʌnt
advancements		ʌdvæˈnsmʌnts
advancer		ʌdvæˈnsɚ
advancers		ʌdvæˈnsɚz
advances		ʌdvæˈnsʌz
advances(1)		ʌdvæˈnsɪz
advancing		ʌdvæˈnsɪŋ
advani			ædvɑˈni
advanta		ædvæˈntʌ
advanta(1)		ʌdvæˈntʌ
advanta's		ædvæˈntʌz
advanta's(1)		ʌdvæˈntʌz
advantage		ædvæˈntɪʤ
advantage(1)		ʌdvæˈntɪʤ
advantage(2)		ædvæˈnɪʤ
advantage(3)		ʌdvæˈnʌʤ
advantaged		ædvæˈntɪʤd
advantaged(1)		ʌdvæˈntɪʤd
advantaged(2)		ædvæˈnɪʤd
advantaged(3)		ʌdvæˈnɪʤd
advantageous		æˌdvʌntejˈʤʌs
advantages		ædvæˈntɪʤɪz
advantages(1)		ʌdvæˈntɪʤɪz
advantages(2)		ædvæˈnɪʤɪz
advantages(3)		ʌdvæˈnɪʤɪz
advantest		ædvæˈntʌst
advantest(1)		ʌdvæˈntʌst
advection		ædvɛˈkʃʌn
advent			æˈdvɛˌnt
adventist		æˈdvɛˌntɪst
adventists		æˈdvɛˌntɪsts
adventists(1)		æˈdvɛˌntɪs
adventure		ædvɛˈnʧɚ
adventure(1)		ʌdvɛˈnʧɚ
adventurer		ædvɛˈnʧɚɚ
adventurer(1)		ʌdvɛˈnʧɚɚ
adventurers		ædvɛˈnʧɚɚz
adventurers(1)		ʌdvɛˈnʧɚɚz
adventures		ædvɛˈnʧɚz
adventures(1)		ʌdvɛˈnʧɚz
adventuresome		ædvɛˈnʧɚsʌm
adventuresome(1)	ʌdvɛˈnʧɚsʌm
adventurism		ædvɛˈnʧɚɪˌzʌm
adventurism(1)		ʌdvɛˈnʧɚɪˌzʌm
adventurous		ædvɛˈnʧɚʌs
adventurous(1)		ʌdvɛˈnʧɚʌs
adverb			æˈdvɚb
adverbial		ædvɚˈbiʌl
adverbs		æˈdvɚbz
adversarial		æˌdvɚsɛˈɹiʌl
adversaries		æˈdvɚsɛˌɹiz
adversary		æˈdvɚsɛˌɹi
adverse		ædvɚˈs
adverse(1)		æˈdvɚˌs
adverse(2)		ʌdvɚˈs
adversely		ædvɚˈsli
adversity		ædvɚˈsɪti
adversity(1)		ʌdvɚˈsɪti
advertise		æˈdvɚtajˌz
advertised		æˈdvɚtajˌzd
advertised(1)		æˌdvɚtajˈzd
advertisement		ʌdvɚˈtʌzmʌnt
advertisement(1)	æˌdvɚtajˈzmʌnt
advertisements		æˈdvɚtajˌzmʌnts
advertiser		æˈdvɚtajˌzɚ
advertiser's		æˈdvɚtajˌzɚz
advertisers		æˈdvɚtajˌzɚz
advertisers'		æˈdvɚˌtajˌzɚz
advertises		æˈdvɚtajˌzɪz
advertising		æˈdvɚtajˌzɪŋ
advertising's		æˈdvɚtajˌzɪŋz
advertorial		æˌdvɚtɔˈɹiʌl
advertorials		æˌdvɚtɔˈɹiʌlz
advest			æˈdvɛst
advice			ædvajˈs
advice(1)		ʌdvajˈs
advil			æˈdvɪˌl
advil's		æˈdvɪˌlz
advisability		æˌdvajˌzʌbɪˈlɪti
advisable		ʌdvajˈzʌbʌl
advise			ædvajˈz
advise(1)		ʌdvajˈz
advised		ædvajˈzd
advised(1)		ʌdvajˈzd
advisedly		ædvajˈzʌdli
advisedly(1)		ʌdvajˈzʌdli
advisement		ʌdvajˈzmʌnt
adviser		ædvajˈzɚ
adviser's		ʌdvajˈzɚz
advisers		ædvajˈzɚz
advisers'		æˌdvajˈzɚz
advises		ædvajˈzɪz
advising		ædvajˈzɪŋ
advisor		ædvajˈzɚ
advisor(1)		ʌdvajˈzɚ
advisories		ʌdvajˈzɚiz
advisors		ædvajˈzɚz
advisors(1)		ʌdvajˈzɚz
advisory		ædvajˈzɚi
advisory(1)		ʌdvajˈzɚi
advo			æˈdvow
advocacy		æˈdvʌkʌsi
advocate		æˈdvʌkʌt
advocate(1)		æˈdvʌkejˌt
advocate's		æˈdvʌkʌts
advocated		æˈdvʌkejˌtʌd
advocated(1)		æˈdvʌkejˌtɪd
advocates		æˈdvʌkʌts
advocates(1)		æˈdvʌkejˌts
advocating		æˈdvʌkejˌtɪŋ
advocation		æˌdvʌkejˈʃʌn
adweek			æˈdwik
adwell			ʌdwɛˈl
ady			ejˈdi
adz			æˈdz
ae			ejˈ
aegean			ɪʤiˈʌn
aegerter		ɛˈgɚtɚ
aegis			iˈʤʌs
aegon			ejˈgɑn
aeltus			æˈltʌs
aeneas			æˈniʌs
aeneid			ʌniˈɪd
aequitron		ejˈkwɪtɹɑn
aer			ɛˈɹ
aer(1)			ejˈiˈɑˈɹ
aerial			ɛˈɹiʌl
aerials		ɛˈɹiʌlz
aerie			ɛˈɹi
aerien			ɛˈɹiʌn
aeriens		ɛˈɹiʌnz
aeritalia		ɛˌɹɪtæˈljʌ
aero			ɛˈɹow
aerobatic		ɛˌɹʌbæˈtɪk
aerobatics		ɛˌɹʌbæˈtɪks
aerobic		ɛɹowˈbɪk
aerobically		ɛɹowˈbɪkli
aerobics		ɚowˈbɪks
aerodrome		ɛˈɹʌdɹowˌm
aerodromes		ɛˈɹʌdɹowˌmz
aerodynamic		ɛˌɹowdajnæˈmɪk
aerodynamically	ɛˌɹowdajnæˈmɪkli
aerodynamicist		ɛˌɹowdajnæˈmɪsɪst
aerodynamicists	ɛˌɹowdajnæˈmɪsɪsts
aerodynamicists(1)	ɛˌɹowdajnæˈmɪsɪs
aerodynamics		ɛˌɹowdajnæˈmɪks
aerodyne		ɛˈɹʌdajˌn
aerodyne's		ɛˈɹʌdajˌnz
aeroflot		ɛˈɹowflɑˌt
aeroflot's		ɛˈɹowflɑˌts
aerogenosa		ɛˈɹʌʤʌnowˌsʌ
aerojet		ɛˈɹowʤɛˌt
aerojets		ɛˈɹowʤɛˌts
aerolift		ɛˈɹowlɪˌft
aerolifts		ɛˈɹowlɪˌfts
aerolineas		ɛˌɹowlɪˈniʌs
aeromar		ɛˈɹʌmɑɹ
aeromar(1)		ɛˈɹowmɑɹ
aeromexico		ɛˌɹowmɛˈksɪkowˌ
aeromexico's		ɛˌɹowmɛˈksɪkowˌz
aeronautic		ɛˌɹownɑˈtʌk
aeronautical		ɛˌɹownɑˈtʌkʌl
aeronautical(1)	ɛˌɹʌnɑˈtʌkʌl
aeronauticas		ɛˌɹownɔˈtɪkʌs
aeronautics		ɛˌɹʌnɔˈtɪks
aeroperu		ɛˌɹowpejɹuˈ
aeroperu's		ɛˌɹowpejɹuˈz
aeroquip		ɛˈɹʌkwɪˌp
aerosmith		ɛˈɹowsmɪˌθ
aerosmith's		ɛˈɹowsmɪˌθs
aerosol		ɛˈɹʌsɑˌl
aerosols		ɛˈɹʌsɑˌlz
aerospace		ɛˈɹowspejˌs
aerospace's		ɛˈɹowspejˌsɪz
aerospatiale		ɛˌɹowspɑˌsiɑˈl
aerospatiale's		ɛˌɹowspɑˌsiɑˈlz
aerostar		ɛˈɹowstɑˌɹ
aerostar's		ɛˈɹowstɑˌɹz
aerostars		ɛˈɹowstɑˌɹz
aerostat		ɛˈɹowstæˌt
aerostat's		ɛˈɹowstæˌts
aerostats		ɛˈɹowstæˌts
aerotech		ɛˈɹowtɛˌk
aerovias		ɛɹowviˈʌz
aerts			ɛˈɹts
aeschelus		ɛˈskʌlʌs
aeschliman		ɛˈʃlimʌn
aesop			iˈsɑˌp
aesop's		iˈsɑˌps
aesthenopia		æsθʌnɔˈpjʌ
aesthete		ɛˈsθit
aesthete's		ɛˈsθits
aesthetes		ɛˈsθits
aesthetic		ɛsθɛˈtɪk
aesthetically		ɛsθɛˈtɪkli
aesthetics		ɛsθɛˈtɪks
aetna			ɛˈtnʌ
aetna's		ɛˈtnʌz
afanasyev		æˌfʌnejˈsiɛv
afar			ʌfɑˈɹ
affable		æˈfʌbʌl
affably		æˈfʌbli
affair			ʌfɛˈɹ
affair's		ʌfɛˈɹz
affairs		ʌfɛˈɹz
affect			ʌfɛˈkt
affectation		æˌfɛktejˈʃʌn
affected		ʌfɛˈktʌd
affected(1)		ʌfɛˈktɪd
affecting		ʌfɛˈktɪŋ
affection		ʌfɛˈkʃʌn
affectionate		ʌfɛˈkʃʌnʌt
affectionate(1)	ʌfɛˈkʃʌnɪt
affectionately		ʌfɛˈkʃʌnʌtli
affections		ʌfɛˈkʃʌnz
affective		ʌfɛˈktɪv
affectively		ʌfɛˈktɪvli
affects		ʌfɛˈkts
affeldt		æˈfɪlt
afferent		æˈfɚʌnt
affiant		æˈfiʌnt
affidavit		æˌfʌdejˈvʌt
affidavits		æˌfɪdejˈvɪts
affiliate		ʌfɪˈliejˌt
affiliate(1)		ʌfɪˈliʌt
affiliate's		ʌfɪˈliejˌts
affiliated		ʌfɪˈliejˌtʌd
affiliated(1)		ʌfɪˈliejˌtɪd
affiliated's		ʌfɪˈliejˌtɪdz
affiliates		ʌfɪˈliʌts
affiliates(1)		ʌfɪˈliejˌts
affiliates'		ʌfɪˈliɪts
affiliating		ʌfɪˈliejˌtɪŋ
